Codigo,CategoriaCadastro,NomeCadastro
1464,SENSORES,BASE PARA RELE BIVOLT PRETO 305-4
1807,LUM SOBREPOR,LUMI SOBREPOR RD NL- LT018K 18W 3000K
2062,ESPETO JARDIM,ESPETO LED LGP07-B 7W BIVOLT 6500K PRETO
3050,MANGUEIRA LED,CONEXÃO P/ MANG LED XXX
3167,LUM EMBUTIR,LUMINARIA LED PANEL LE002R 15W 3000K 100-240V
3171,LUM EMBUTIR,LUMINARIA LED PANEL LE001Q 10W 3000K 100-240V
3173,LUM EMBUTIR,LUMINARIA LED PANEL LE002Q 15W 3000K 100-240V
3187,FITA LED,FITA LED 5050 6500K 127V 100M
3188,FITA LED,FITA LED 5050 2700K 127V 100M
5072,FITA LED,FITA LED NEON 2835 6500K 127V 50M
5073,FITA LED,FITA LED NEON 2835 3000K 127V 50M
5074,FITA LED,FITA LED NEON 2835 AZUL 127V 50M
5155,PENDENTE,PENDENTE LP-016A SMD 40W 3 EM 1
5272,LAMPADA,LÂMPADA BULBO LED 50W 6500K E27 T140 BIVOLT
5273,FONTE P/ PERFIL,FONTE PERFIL 8.5A 12V 100W
5274,LUM DE MESA,LUMINARIA DE MESA LM-201 E27X1
5275,REFLETOR,REFLETOR LED 30W RGB
5276,REFLETOR,REFLETOR LED 50W RGB
5277,REFLETOR,REFLETOR HOLOFOTE SLIM 10W 6500K
5278,REFLETOR,REFLETOR HOLOFOTE SLIM 20W 6500K
5279,REFLETOR,REFLETOR HOLOFOTE SLIM 30W 6500K
5280,FITA LED P/ PERFIL,FITA LED PERFIL 2835 3000K 240LEDS
5281,FITA LED P/ PERFIL,FITA LED PERFIL 2835 4000K 240LEDS
5282,LUSTRE,LUSTRE LTR-004 E14X25
5283,LUM EMBUTIR,LUMINARIA LED LE005R 18W 6500K
5284,LUM EMBUTIR,LUMINARIA LED LE005R 18W 3000K
5285,LUM EMBUTIR,LUMINARIA LED LE006R 24W 6500K
5286,LUM EMBUTIR,LUMINARIA LED LE006R 24W 3000K
5287,LUM EMBUTIR,LUMINARIA LED LE007R 36W 6500K
5288,LUM EMBUTIR,LUMINARIA LED LE005Q 18W 6500K
5289,LUM EMBUTIR,LUMINARIA LED LE005Q 18W 3000K
5290,LUM EMBUTIR,LUMINARIA LED LE006Q 24W 6500K
5291,LUM EMBUTIR,LUMINARIA LED LE006Q 24W 3000K
5292,LUM EMBUTIR,LUMINARIA LED LE007Q 36W 6500K
5293,LUM EMBUTIR,LUMINARIA LED LE007Q 36W 3000K
5294,LAMPADA,LAMPADA FILAMENTO G45 E27 4W 2200K
5295,PENDENTE,PENDENTE LP-600D 30W 4000K
5296,ARANDELA,ARANDELA LA-600D 10W 4000K
5297,LUM DE MESA,LUMINARIA DE MESA LM-600D 12W 4000K
5298,LUM DE CHÃO,LUMINÁRIA DE CHAO LC-600D 26W 4000K
5299,ARANDELA,ARANDELA LA-300 5W 3 EM 1
5300,ARANDELA,ARANDELA LA-301 5W 3 EM 1
5301,LUM DE CHÃO,LUMINARIA DE CHAO LC-001 28W 4000K
5302,PENDENTE,PENDENTE NTL-001 3W 3 EM 1
5303,PENDENTE,PENDENTE LPL-007 18W 4000K
5304,PENDENTE,PENDENTE LPL-008 15W 4000K
5305,PENDENTE,PENDENTE LPC-001 24W 4000K
5306,PENDENTE,PENDENTE LPC-002 36W 4000K
5307,PENDENTE,PENDENTE LPC-003 48W 4000K
5308,PENDENTE,PENDENTE LP-020 48W 4000K
5309,LUSTRE,LUSTRE LF-001 42W 3 EM 1
5310,PENDENTE,PENDENTE LPL-201 36W 4000K
5311,PENDENTE,PENDENTE LP-019 36W 4000K
5312,PENDENTE,PENDENTE LP-102 32W 4000K
5313,LUM DE MESA,LUMINARIA DE MESA LM-301 15W 4000K
5314,LUM EMBUTIR,LUMI EMBUTIR RD PL-008A 18W 3000K
5315,PENDENTE,PENDENTE LP-018 40W 4000K
5316,LUM DE MESA,LUMINARIA DE MESA LME-001 G9X1
5317,LUM DE MESA,LUMINARIA DE MESA LME-002 G9X1
