Codigo,CategoriaCatalogo,NomeCatalogo
0854,LUMINARIA,LUMINÁRIA DE EMERGÊNCIA 30 LEDS
1171,FITA LED,FITA LED 3528 C FONTE 6500K NITROLUX
1172,FITA LED,FITA LED 3528 24W 3000K
1181,FITA LED,FITA LED 2835 3000K
1368,FITA LED,FITA LED VD CFONTE 3528 IP65 NITROLUX
1421,BOCAL,BOCAL DE LOUÇA E27
1423,BOCAL,BOCAL RABICHO GU10
1492,SENSOR,SENSOR DE TETO NT36
1641,LUMINARIA,LUMINARIA TARTARUGA LED 7W 6500K
1765,FITA LED,FITA LED 3528 24W 12V RGB IP65
1791,REFLETOR,REFLETOR 10W VERDE
1805,LUMINARIA,LUMI SOBREPOR LT006K 6W BIVOLT 3000K .BRANCO REDONDA
1806,LUMINARIA,LUMIN DE SOBREPOR LT012K 12W BIVOLT 3000K .BRANCO REDONDA
1809,LUMINARIA,LUMIN DE SOBREPOR LT006J 6W BIVOLT 3000K .BRANCO QUADRADA
1831,REFLETOR,REFLETOR 30W VERDE
1913,Sem categoria,SP-010
1939,LUMINARIA,LUMIN DE EMBUTIR PL-006A 6W BIVOLT 3000K .BRANCO REDONDO
1983,Sem categoria,SUPER SLIM 18W
1985,Sem categoria,SUPER SLIM 36W
2026,LUMINARIA,LUMINARIA TARTARUGA - BRANCO CRISTAL
2027,LUMINARIA,LUMINARIA TARTARUGA - BRANCO FOSCO
2095,LUSTRE,LUSTRE LTL-006 18W BIVOLT SMD 4000K
2100,LUSTRE,LUSTRE LTL-011 18W BIVOLT SMD 4000K
2103,LUSTRE,LUSTRE LTL-014 20W BIVOLT 4000K GU10
2131,Sem categoria,PL004A 3000K
2134,LAMPADA,LAMP HALOGENA 42W 220V 2700K E27
2136,LAMPADA,LAMP HALOGENA 70W 220V 2700K E27
2151,REFLETOR,REFLETOR 300W
2152,REFLETOR,REFLETOR 400W
2153,REFLETOR,REFLETOR 500W
2154,LUSTRE,LUSTRE LTC-001
2157,LUSTRE,LUSTRE LTC-003
2165,ESPETO,ESPETO LGP 5W BIVOLT AZUL
2172,LAMPADA,LAMP TUBULAR LED 18W BIVOLT 6500K BRANCO G13
2182,LAMPADA,LÂMPADA LED BULBO 9.9W NITROLUX
2199,LUMINARIA,LUMIN DE EMBUTIR PL-030 30W BIVOLT 6500K BRANCO QUADR
